"dress_leisure","dress_work","fit_top","fit_bottom","highlight","cover","body_shape","eyes","hair","size_top","size_bottom","size_footwear","size_bra","size_cup","height","weight","focus","adventurous","styles","prices","avoid","footwear","footwear_priority","footwear_families","job","birthdate","is_mother"
4,4,2,1,"1,4","2,3,5",5,3,2,5,5,4,4,"F",166,82,"5,4",4,"3,4",1,8,2,"1,6",,4,1989-08-22,"true"
1,1,3,1,,"4,3,1",2,5,2,6,6,4,7,"D",165,85,"4,2",3,"1,5",1,5,"2,1,3","1,10,6",5,4,1982-01-27,"false"
3,2,2,2,4,"1,3",1,3,5,7,8,2,7,"D",160,100,"1,5",1,2,2,"9,8,7,6",,,,2,1978-08-22,"true"
1,2,3,3,,,2,5,3,8,8,7,9,"B",173,120,"1,5",1,2,1,"1,5,8,7",1,6,6,,,
3,1,2,2,,3,2,5,3,6,6,2,4,"F","152.4","73.09","2,5,3",3,"1,2",2,,3,1,4,11,,"false"
2,4,2,1,"1,5",,2,4,3,3,3,3,4,"B",173,60,"2,1,5",4,6,2,"8,6,7","3,1",10,5,4,1995-07-27,"false"
2,1,3,1,"1,4,5","2,3",5,2,4,7,7,4,6,"C",163,78,"1,5,2",3,5,1,"8,7,9",,,,2,1966-12-02,"true"
1,3,3,1,1,"3,4",2,6,5,7,7,4,5,"C","157.48","92.16","3,5",1,"5,3",1,,"3,2",1,,3,1980-11-23,"true"
3,3,2,2,"1,3,4",2,5,3,3,6,6,5,5,"D",170,85,"5,4,3",3,"2,5",1,"5,7",2,"4,1","5,4",12,1979-07-25,"true"
2,2,2,1,"1,5",2,6,4,2,3,3,4,3,"A",169,60,"3,5",3,6,1,"1,4,5,7,8,9",,,,4,1974-02-18,"false"
1,4,1,1,"3,4,5",,5,3,3,2,1,4,2,"B",170,50,"3,1",3,"1,5",1,,"1,3","6,10",5,1,1979-11-20,"true"
1,4,2,1,1,5,5,3,2,3,2,3,4,"C",167,"66.5","5,3",3,"2,6",1,,"3,1","4,6",,5,1982-07-09,"false"
1,1,3,2,,,6,3,6,3,4,5,5,"A",167,73,1,3,"4,1",1,"1,5",2,"4,1",,2,1990-03-05,"true"
1,4,3,1,"1,3,4",,5,1,3,5,5,1,5,"E",160,71,"5,3",2,"5,2",1,8,4,"4,6,1",,4,1982-09-03,"true"
1,1,3,1,3,,2,3,2,5,5,7,6,"E",173,87,"3,5,4",3,"5,1",1,"2,8",1,"10,6,1",5,2,1997-10-21,"true"
1,1,3,1,"3,4",5,4,1,2,2,2,1,3,"B",150,58,3,3,"5,6",1,"7,8","3,2","1,4,6",4,14,1991-06-27,"true"
2,4,1,1,,2,2,4,5,4,3,4,6,"C",175,75,"5,1",4,"5,6",2,"2,3",3,"1,4,6,10,3","1,4,5",4,1977-05-31,"true"
1,3,2,2,,3,1,3,3,3,4,4,3,"C",162,65,"5,3,2",2,"1,2",1,,1,1,"3,5",4,1975-07-08,"true"
4,4,2,1,"3,5",,3,5,2,2,3,2,3,"C",164,57,"4,5,1",2,"4,5",2,"7,6,9",,,,2,1967-05-25,"true"
3,3,3,2,"1,5",3,3,4,1,7,6,2,6,"D",155,80,"5,2,3",4,2,3,"3,6,7",1,1,"2,3",5,1956-06-28,"false"
2,2,2,1,1,,2,5,3,5,5,3,6,"D",158,71,"2,3",5,5,2,9,,,,9,1950-08-22,"true"
2,3,2,2,"4,5","2,3",3,5,2,5,4,3,5,"F",164,71,"4,1",2,"5,2",1,"1,5",3,6,4,4,1958-05-11,"true"
2,2,3,3,4,,5,4,2,3,2,2,2,"B",160,55,"4,3",4,3,1,,1,6,5,14,1994-03-11,"false"
3,3,1,1,,,2,4,3,4,4,3,4,"B",160,69,3,3,1,1,,3,4,5,14,1969-08-01,"true"
2,1,1,2,1,,5,6,2,2,2,3,3,"C",164,53,"5,3,2",5,"4,5",3,"8,7","4,3,2,1","4,6",,5,1986-06-11,"true"
1,3,2,1,,"1,4,2",3,2,2,8,6,6,6,"D",170,80,"5,3,2",1,"4,2",1,5,1,"4,1,6",,4,1982-11-11,"true"
1,2,2,2,,,1,4,2,6,6,5,5,"B",165,88,"1,4,2",2,5,1,5,1,"6,1","1,2,5",2,1983-09-02,"false"
1,1,2,1,,5,2,3,6,5,5,6,4,"C",168,78,"3,5",2,5,2,5,,"4,1",5,2,1963-01-22,"true"
1,4,2,1,"3,5",,2,5,2,4,4,7,4,"C",180,79,"5,3,1",3,5,2,"7,9,8",,,,4,1991-04-19,"false"
2,4,2,1,1,,4,4,3,6,7,6,6,"C",177,88,"5,1",3,"2,3",1,"7,9,8,5",,,,14,1984-08-23,"true"
4,3,1,3,4,"2,3,5",5,1,6,5,6,5,3,"FF","170.18","82.63","4,3,5",1,5,1,"9,4,2",,,,5,1991-06-13,"false"
2,1,3,3,1,"3,4",2,3,1,4,5,3,4,"C",168,63,"3,1",4,"1,6",1,2,"3,2",6,4,4,1973-01-15,"true"
2,4,1,1,"1,3",4,1,2,3,3,3,4,3,"C",174,63,"4,2",1,"2,5",2,6,1,"4,3",1,4,1981-05-22,"false"
1,4,3,1,"3,5","2,4",1,3,5,4,4,3,4,"C",170,69,"4,2,1",2,"2,5",1,"3,7,8,9,5",,,,4,1978-09-30,"true"
1,2,2,2,,"2,5",2,5,2,4,5,3,4,"D","160.02","66.74","3,4,5",1,"6,4",1,"5,7,9,8,3",,,,4,1974-04-18,"true"
2,1,3,2,3,"1,2",1,6,3,4,6,5,2,"B",175,74,"4,2",4,"2,1",1,7,3,1,,4,1979-11-22,"true"
1,1,3,2,,4,6,5,2,3,4,1,3,"B",165,72,"3,4",3,"1,5",1,5,2,"1,4,10","5,6,2",3,1986-02-28,"false"
2,2,2,1,,,3,3,2,4,4,5,3,"B","170.18","59.93","2,5",3,"6,5",1,5,,"6,1,3,4",1,7,1965-11-07,"true"
2,1,3,2,1,"2,4,5",2,2,2,7,8,3,8,"C",159,90,,4,3,1,"1,2,5,8",3,1,4,14,1975-04-25,"true"
3,3,2,1,,,2,4,2,5,5,3,5,"C",172,72,4,4,"1,5",2,1,2,"4,1,3",5,6,1977-01-12,"false"
2,2,1,2,,"3,5",5,4,5,6,6,6,6,"C",173,100,"5,3",1,"3,6",1,"1,5",4,1,"2,5",4,1985-07-20,"true"
1,1,1,2,3,"1,2,4,5",5,3,3,3,3,3,4,"C",164,57,"4,3",5,"2,5",1,"6,7,9,8,3",,,,14,1984-04-06,"false"
1,1,1,1,,"4,3,5",5,1,6,5,6,6,7,"D",167,105,"4,2",4,1,1,"5,7","1,2","1,10","5,3",2,1970-09-20,"true"
1,4,3,2,,"2,3,4,5",2,5,2,5,6,5,5,"C",161,78,"5,3",1,"6,4",1,"3,8,7",1,"4,6,1","1,5",1,1966-01-03,"true"
2,2,1,1,,,1,5,2,2,3,2,3,"B","162.56","60.38","3,2",3,"1,6",1,"9,8,7",,,,7,1987-04-22,"false"
2,1,3,1,"1,4",2,5,5,4,5,6,3,8,"F",157,80,"4,1",2,5,1,"1,5,7,8",1,"6,10,1","3,5",3,1990-09-12,"false"
4,4,2,1,4,,5,3,2,3,3,4,3,"B","162.56","80.81","1,5",5,3,2,"1,2,3,4,5,6,7,9",,,,11,1974-11-16,"true"
1,4,3,1,,,5,5,3,2,3,7,4,"B",174,60,"4,3,1",1,5,2,"7,6",1,1,5,11,1990-08-29,"false"
2,4,3,1,"1,3",,5,1,3,2,3,2,4,"C",162,57,"1,4,5",3,5,1,"5,8",4,"6,10",,2,1985-04-13,"true"
3,3,1,2,1,"2,4,5",4,1,3,2,3,0,3,"B",150,51,"5,3,2",1,"2,4",2,5,3,1,,3,1979-10-06,"true"
1,4,1,1,1,,5,3,2,5,6,2,5,"D",165,75,"5,4,1",1,3,2,5,3,6,1,14,1982-03-27,"true"
2,1,2,1,"1,3,5",4,3,4,2,2,3,2,3,"B",155,"54.5",4,4,5,1,,2,1,2,2,1981-03-10,"false"
1,1,3,1,"1,2",,2,4,2,8,8,4,6,,"167.64","null",4,2,6,1,6,1,1,4,,,
1,1,1,1,,2,5,5,4,4,4,3,3,"FF","154.94","63.56","5,3",3,"1,5",1,"7,8",2,"6,1",,12,1988-02-04,"true"
1,2,3,2,2,3,6,4,2,7,6,6,6,"C","170.18","92.16","2,4,3",4,"4,1",1,"8,3",3,10,5,3,1979-07-07,"true"
2,1,3,1,,3,1,4,2,5,5,5,4,,167,75,"1,5",5,"5,1",1,3,3,"1,10",4,14,1975-11-19,"true"
1,1,3,1,4,"2,5",2,5,2,7,7,4,5,"B","167.64","108.96","1,5",4,5,1,"7,8,9",,,,14,1996-07-11,"false"
2,1,3,1,"2,3,4",5,3,3,5,3,3,4,3,"B",169,58,"3,5,1",3,"5,1",1,"5,1",1,"1,10","1,4",,,
2,3,3,3,,"5,4",2,3,5,5,5,4,3,"D",168,88,"4,2",3,"6,2",1,"8,7","3,4","1,10,6",4,4,1995-09-06,"false"
1,2,1,1,1,,4,4,2,3,4,3,3,"DD","167.64","74.46","3,4,2",2,"5,2",1,8,3,"6,1",4,4,1980-03-15,"true"
1,1,3,2,1,"3,4",2,3,3,8,8,2,7,"B",160,95,"4,3",3,"1,3",1,"1,5","2,1","6,1","3,5",14,1974-11-25,"true"
2,1,2,1,2,,4,3,3,2,2,3,2,"B","157.48","55.39","1,5",1,"6,5",2,"1,5,7,8","4,1","4,6","2,3",4,1970-01-23,"true"
1,3,1,1,,,5,1,3,2,2,4,2,"B",170,52,"4,3",5,"1,2",1,"8,1",3,"6,1,10,4",,10,2000-10-26,"true"
2,3,1,2,"3,4,5",2,3,3,6,1,1,2,1,"B",154,44,"4,5",2,"2,5",1,8,"3,4","4,6,1,10",4,10,2001-10-15,"false"
2,1,2,1,1,,5,5,3,5,6,5,7,"C",167,90,"2,4,3",4,"5,1",3,"5,1","3,2,1","4,6,1","2,3,1",4,1988-06-17,"true"
1,2,1,2,4,"1,3,5",1,3,5,4,5,7,3,"B","170.18","null","3,4,2",2,1,1,"6,7",1,1,5,3,1980-09-13,"true"
1,1,1,1,,"1,2,3,4,5",6,3,6,4,5,1,4,"C",90,60,5,1,"1,4",1,"5,7,8,2","1,4","10,6,1",1,13,1987-10-19,"false"
1,1,1,1,,"2,4",2,1,1,4,4,3,4,"D","157.48","59.93","1,5,3",2,"1,3",1,,3,6,,6,1966-01-04,"false"
1,1,2,1,"3,5",,6,1,5,3,3,3,3,"B",167,64,"1,5,2",1,1,1,7,"1,2","6,10",,6,1987-08-28,"true"
1,1,3,2,1,"2,3,5",2,4,4,8,7,7,5,"D",167,100,"3,5",5,3,1,3,,1,5,6,1987-06-08,"true"
1,2,2,1,"3,5",,5,6,5,3,4,3,4,"B","160.02","66.74","2,3",4,"5,1",1,"9,8",,,,13,1983-05-25,"true"
2,3,1,3,,"1,2,3,5",3,5,2,5,5,5,5,"C",176,82,"3,1",3,"6,5",1,"1,3,8","1,2","1,10,6",5,4,1987-04-13,"true"
2,2,1,3,4,5,2,1,1,5,6,7,4,"B",167,70,"2,5,4",3,,1,9,,,,2,1977-01-30,"true"
2,2,3,1,,,5,1,2,1,1,0,1,"A","167.64","56.75",3,3,5,2,4,2,4,,2,1990-01-01,"true"
3,1,2,2,,"2,5",3,1,3,4,5,2,5,,158,65,5,1,1,1,"7,8,9,5,6",,,,9,1971-02-28,"true"
1,1,3,3,"1,4",3,2,4,5,5,7,4,5,"D",170,85,3,4,"1,3",1,"2,9,8",,,,13,1981-02-28,"false"
4,3,3,2,"1,2,4",,3,3,3,7,5,5,5,"D",169,90,"4,1",3,"2,5",1,8,2,"1,4",5,12,1977-05-25,"true"
2,1,3,1,1,,5,5,3,3,4,3,4,"C",163,70,"5,2",3,"5,1",1,,3,1,5,4,1982-02-02,"true"
2,3,1,1,"3,4,5","1,2",4,1,3,2,2,4,3,"B",164,54,"3,5,1",3,"2,4",1,"5,1","1,2",6,"4,5,6",10,2006-10-20,"false"
,1,3,1,,,4,4,3,2,2,1,3,"C",154,56,"4,3,1",4,"6,5",1,8,1,"1,3","3,5",9,1967-03-06,"true"
3,3,3,1,,"2,4",6,5,2,7,7,3,7,"DD","162.56","88.98","5,3,1",1,4,2,4,1,1,"2,4",5,1975-04-12,"true"
3,3,2,3,"3,5","1,2,4",2,1,5,7,8,7,6,"E",169,106,"3,4",4,2,3,"2,3,5,8",2,"6,1,3","5,6,4",2,2000-11-02,"true"
3,3,1,1,"1,2,3,4,5",,5,4,5,2,2,3,3,"D",162,53,5,3,"4,6",3,,4,4,3,2,1973-04-11,"true"
3,3,1,2,1,5,2,4,5,6,6,6,8,"C",168,94,"3,2",3,"5,6",2,,2,"4,1,6",,4,1969-03-26,"true"
2,3,2,2,,"1,4",6,5,3,4,4,2,3,"D","160.02","60.84","4,2,1",1,"1,3",1,"2,6,7,8,9",,,,13,1973-12-12,"true"
4,4,2,3,,,2,4,4,6,6,4,6,"E",170,92,"3,5",5,"5,6",3,"3,8",3,1,"5,1",2,1970-09-05,"false"
3,4,3,3,1,"5,4",1,3,1,7,7,6,4,,168,95,"3,5",1,1,1,1,2,6,5,9,1957-09-08,"true"
2,1,3,2,,"3,5",2,3,1,6,5,3,6,"D",160,74,"5,3",3,"1,4",1,"1,7,8",3,"6,4",5,4,1962-07-09,"true"
2,1,2,1,"1,4",,5,2,6,5,4,5,7,"C",165,80,"1,5",5,6,3,"7,9",,,,2,1999-01-19,"false"
2,3,1,1,,"5,3",1,3,3,2,3,3,4,"B",156,56,"1,5,3",5,"3,6",1,,3,4,,12,1978-02-27,"false"
2,4,1,1,"3,4,5",,4,4,2,1,1,2,3,,170,51,5,5,"6,5",1,"2,3,6,5",4,"6,1,10",4,13,1988-09-07,"false"
2,1,3,1,1,4,6,3,2,3,3,2,4,"C",161,64,"3,5,1",3,4,1,5,1,6,5,6,1982-12-22,"true"
2,1,2,2,"4,1","3,5",1,4,2,3,5,7,5,"B",185,88,"4,3,2",3,"1,5",1,,2,"4,1,6,10",,4,1989-11-10,"false"
2,4,1,1,1,5,1,3,6,2,2,3,1,"C",162,54,"3,2",5,"1,5",1,"9,8",,,,4,1988-05-10,"true"
1,2,1,1,4,3,5,3,5,4,4,3,4,"E","162.56","69.46","4,2",5,1,1,,2,6,1,14,1982-11-11,"true"
2,1,3,2,,,2,1,3,5,4,2,5,"C",157,68,"2,4,1",1,1,1,"4,3,9",,,,13,1976-03-14,"true"
2,1,3,1,5,"1,3,4",2,1,3,3,3,4,2,"B",165,58,"2,5",5,"1,4",1,5,3,1,,2,1988-12-21,"true"
1,3,3,1,,,3,1,2,5,5,5,4,"D","177.8","74.46","4,5",5,6,1,8,2,"6,1",2,4,1978-11-11,"true"
1,3,3,2,4,"2,3,5",2,1,2,4,5,3,7,"C",163,90,"4,5,1",2,"1,4",3,7,"2,3",4,"1,5",2,1982-11-28,"false"
4,1,3,1,1,"2,5",1,1,3,5,7,4,5,"D",165,95,"3,5",3,"5,3",1,"7,8,9",,,,2,1990-06-05,"true"
2,4,3,1,,,2,5,3,6,5,3,4,"E","157.48","72.19","1,4",3,"6,3",1,"5,7,8",3,"1,4",1,2,1966-05-16,"false"
1,1,2,1,,,4,3,3,2,2,2,3,"B",165,47,5,3,"5,6",1,"7,8",2,"1,6",5,13,1985-09-29,"true"
2,3,1,1,"2,3,4",,5,3,4,1,2,1,3,"B",152,53,"2,4",2,"5,6",1,"1,5,7,9,8",,,,2,1988-08-28,"true"
3,3,1,1,4,"1,3",1,2,3,4,4,2,3,,168,68,2,3,"3,4",1,3,3,1,3,11,1982-05-22,"true"
2,4,2,1,"1,3,5","2,4",1,3,2,3,2,5,4,"D",160,65,"5,1,3",3,"1,5",1,2,3,6,4,8,1986-11-15,"true"
2,2,3,1,,"1,4",2,5,2,4,3,4,4,"DD","160.02","59.02",3,3,"6,5",1,"7,8",2,1,,13,1962-10-11,"true"
1,1,1,3,3,"1,2,5",5,3,5,3,5,4,5,"C",153,75,"3,4",3,"4,2",1,"8,6",2,"6,10,1",,10,2006-12-25,"false"
1,4,2,1,4,2,2,3,2,4,4,5,7,"C",168,88,"5,2,1",3,"1,2",1,"4,7,8,9,5",,,,7,1984-10-27,"true"
3,3,3,1,,"1,2",5,5,2,2,2,2,3,"B",160,54,"2,4,3",3,5,1,,1,1,5,2,1981-02-22,
1,4,1,1,"3,4",,4,5,2,2,3,4,3,"D","170.18","59.47","5,2,1",2,"6,4",1,"1,2,7",2,"1,6,10",5,12,1994-08-22,"true"
3,4,2,2,,"1,3",1,3,6,3,4,5,2,"B",176,70,"3,2",3,"6,1",1,"9,7",1,,,4,1982-09-09,"true"
1,2,3,2,,4,6,1,1,4,4,2,3,"D","154.94","61.29","3,5",1,"6,1",1,5,3,1,4,14,1966-09-22,"false"
1,3,3,1,1,"2,3,4",2,1,3,8,8,4,8,"C",161,108,3,3,"1,5",2,"1,5,9",,,,14,1970-10-25,"true"
2,2,2,1,"3,5",,3,5,3,3,3,4,3,"B",169,63,"2,4",3,"5,3",2,9,,,,14,,"false"
2,1,3,1,,1,5,4,3,3,3,5,3,"D",162,65,"5,1",4,"4,5",1,"7,8","1,2,3","6,1,10,4",,11,1979-08-08,"true"
3,3,1,3,"1,4","2,3,5",5,3,5,3,4,4,3,"C",168,75,"4,2,1",3,"2,4",1,"7,3",2,1,"1,6",5,1986-08-02,"false"
3,2,3,3,,"2,3",2,3,5,6,6,4,8,"C",156,82,3,3,"6,5",1,"6,9,7",,,,3,1979-09-18,"true"
2,1,3,1,,"2,3,5",2,4,2,6,7,5,6,"B",170,100,3,3,"5,6",1,,2,6,6,2,1980-12-18,"true"
4,1,3,1,"2,4","3,5",1,1,3,5,6,4,5,"B",169,80,"5,2,3",3,"3,6",1,"8,2",3,"1,10",4,14,1989-12-20,"true"
3,1,1,2,4,"1,2",4,3,2,5,4,2,4,,157,60,5,3,6,1,"8,3,6",4,1,"2,3,5,6",4,1967-08-21,"true"
1,4,3,1,,,2,5,2,4,5,5,3,"B","170.18","80.81","1,5",1,"6,3",1,,1,1,"2,4",14,,"true"
2,2,3,1,"1,3,4",2,5,3,5,3,4,4,4,"C",165,75,4,4,"6,5",1,8,2,1,,2,1993-04-26,"false"
3,2,2,1,"3,4,5",1,5,3,6,2,2,7,4,"A",170,55,5,5,"2,6",1,,3,6,2,12,2003-02-12,"false"
2,4,1,1,"3,5,4",1,5,3,5,2,1,1,3,"C",160,48,"1,3",2,"2,5",1,8,,4,4,13,1968-05-03,"true"
2,1,3,1,,"3,4",5,4,6,6,6,4,6,"D",167,70,"4,2",5,"5,4",1,"9,7,8",,,,14,1969-02-10,"false"
2,3,3,2,,"2,4",4,3,3,5,4,6,4,"C",169,72,5,2,"2,1",1,"7,8",1,1,5,6,1956-05-06,"true"
1,3,2,2,1,"3,5",5,1,2,6,7,2,6,"C",158,73,"3,4",5,"2,3",2,"2,4,1",,"6,1,10",1,7,1974-10-13,"false"
2,1,1,1,,,5,5,6,2,1,3,2,"D",157,51,4,4,"2,5",1,"2,7,8","1,3","1,10,4","6,3",12,1997-12-04,"true"
2,3,1,1,4,,1,5,2,2,2,3,3,"B",169,60,"2,4",3,"5,6",2,"5,8,7",3,6,,12,1983-05-01,"true"
1,1,3,1,,"4,5",5,4,3,3,3,6,2,"B",177,67,4,3,"5,3",1,"7,8",1,"1,6,4",5,5,1990-04-29,"false"
2,1,1,1,1,4,1,3,6,2,2,0,3,,158,52,"4,2",3,"5,1",1,"8,2,6",1,1,5,11,1984-11-15,"false"
2,4,3,1,4,2,2,4,2,6,5,4,6,"C",174,84,"4,2",3,"5,6",1,"1,8","3,1",6,"5,6",6,1979-01-30,"true"
2,1,3,1,"4,5,3",,5,4,3,1,1,1,2,"B",160,53,3,5,"3,5",1,7,3,1,4,3,1977-01-04,"false"
1,3,2,1,"3,5",,4,4,3,5,5,6,4,"B",177,77,"5,1",5,"6,2",1,,3,"6,10",5,4,1986-04-10,"true"
1,1,3,3,1,"4,5",6,6,6,7,6,4,6,"B",164,90,"3,5,4",2,"6,1",1,8,4,3,"1,2,4,6",2,1985-10-14,"true"
1,1,3,1,,"2,4,5",4,5,2,4,5,4,5,"C",165,83,"3,4,2",3,"6,5",1,8,"3,2","6,1,10",6,14,1986-07-30,"false"
1,4,1,1,"4,1",,1,3,5,2,3,3,3,"B","160.02","98.97","3,5",3,"4,5",1,"8,7",3,10,3,13,1992-09-29,"false"
2,1,2,2,,,6,4,2,2,3,3,4,"B",168,67,3,4,,1,,2,4,,2,1979-01-14,"true"
1,4,3,2,"3,5",4,6,5,3,4,3,4,4,"C",164,65,"2,4,1",3,5,2,"3,6,7,8,9",,,,14,1958-02-07,"true"
1,4,1,1,"2,5,4",,1,4,2,2,3,5,3,"B",174,63,"5,2",5,"5,4",2,7,"2,3",6,,5,1976-09-16,"true"
1,1,3,2,,,2,1,2,6,6,4,4,"C",170,85,"4,5",1,,1,"1,5",2,1,2,2,1989-07-11,"true"
4,1,1,1,4,5,1,3,5,3,4,5,3,,170,65,"1,5",4,"6,2",1,2,4,"10,4",2,12,1981-05-25,"false"
1,1,2,1,1,"2,4,5",2,4,2,6,7,6,7,"F",172,91,"2,4",3,"1,5",1,"5,1","1,2",10,,14,1994-05-07,"true"
2,2,3,2,,,2,5,2,5,4,3,4,"E","154.94","69.92","1,5",1,"6,5",1,7,3,1,,4,1972-03-17,"true"
1,4,3,2,,"2,4",2,3,5,6,6,3,6,"D",165,84,"4,2",3,"1,4",1,,2,"6,1","5,6",14,1978-04-21,"true"
2,4,1,1,,,5,3,4,3,3,2,5,"D",163,74,"3,5,2",5,"5,3",1,8,3,6,4,1,1994-09-02,"true"
2,1,2,1,,,4,4,3,3,3,7,3,"A",176,57,"5,4,2",5,"5,2",3,"1,7,9",,,,4,1986-01-14,"true"
1,4,3,1,,,2,3,2,4,3,1,4,"B",146,60,"4,3,2",3,"6,1",1,"6,7,8",1,1,5,1,1982-11-07,"true"
1,4,1,3,4,5,5,1,2,5,5,4,4,"E",168,74,"1,5,3",5,"4,5",1,,"1,3,2,4","1,6",,6,1958-11-07,"false"
2,1,2,1,,2,5,6,6,3,3,4,4,"A",165,65,4,2,6,2,,"1,2,3","4,6,1,3",,3,1988-10-18,"true"
1,1,3,1,,1,3,4,4,3,3,3,2,"B","160.02","52.66","2,5,3",5,"1,6",2,,2,,5,2,1972-05-12,"true"
1,4,3,2,,"3,2,5,4",1,5,4,5,5,5,4,"C","165.1","76.27","3,5",3,"5,6",1,8,2,6,5,12,,"true"
4,1,1,1,"1,3,4,5",2,4,1,3,2,2,4,3,"B",172,55,"1,5",3,"6,4",1,"7,3,8",3,"1,10",1,13,1998-12-07,"false"
1,3,1,2,3,4,2,3,6,4,5,4,4,"C",167,73,"4,2",3,5,1,"1,8,7,5",2,1,"6,5",7,1982-10-03,"true"
1,1,3,1,,,5,4,3,2,2,3,2,"C","154.94","null","1,5,4",4,"5,6",1,"7,8",2,1,,2,1985-05-24,"true"
4,1,3,1,,"2,3,5",2,5,5,3,5,3,5,"D",160,75,"3,5,2",1,"6,1",2,3,"3,1","4,6,1,10",,7,1985-04-05,"true"
1,1,3,2,,"5,4,3",2,3,5,6,6,4,5,"DD","162.56","88.98","1,5,4",3,1,2,"5,6,7,8",2,1,2,2,1986-11-26,"true"
3,3,2,2,1,"4,5",1,5,2,3,4,4,4,"C",165,65,"3,4",3,"5,6",1,5,3,10,6,9,1975-12-26,"true"
2,4,3,1,1,4,2,3,5,7,7,6,5,"E",173,99,"5,3",5,,2,,"3,2",4,"2,5,3",5,1979-11-13,"true"
1,1,3,1,,3,6,3,3,7,7,4,7,"C","160.02","93.52","2,5,1",2,"6,5",3,"1,2,5,6,8",1,1,"2,3,5",2,1981-05-19,"true"
4,1,1,2,"3,5,4",,1,2,5,3,3,3,3,,161,60,5,5,"5,3",2,"7,8,9",,,,2,1986-06-11,"true"
1,1,3,3,,"2,3,4,5",2,3,3,7,7,2,6,"C",158,80,"5,4,2",3,"4,2",1,"5,7,8,9",,,,5,1971-12-02,"true"
1,1,3,3,,,6,3,2,5,5,4,3,"D","170.18","75.36","2,4,3",2,"3,1",1,"1,7,8,9",,,,12,1974-02-03,"true"
4,4,3,1,"1,3,4,5",,1,4,3,1,1,2,1,"C",163,50,"5,1",1,"5,2",1,"6,7,8,9",,,,4,1989-04-03,"true"
3,2,3,3,,4,2,3,3,8,8,3,7,"B",160,90,3,3,"3,2",2,3,2,"1,10",1,4,1968-12-02,"true"
2,1,3,1,"3,5,1",,4,6,3,6,5,4,8,"C",176,85,"3,5,1",2,"5,1",1,"5,7,8",2,1,5,14,1964-12-13,"true"
2,1,2,1,,,2,5,2,3,3,2,4,"C","167.64","59.93","2,3",3,"5,1",1,7,"1,3,2","6,1,10",5,9,1974-09-09,"true"
1,3,1,1,"3,4,5",1,5,4,2,3,3,2,3,"C","154.94","52.66","3,4",3,"4,5",1,"4,3,7",2,"1,6","4,5",4,1965-04-02,"true"
4,2,2,2,,"1,2,3,4,5",6,4,3,5,6,3,5,"C",168,80,"4,5",4,"6,5",2,4,2,6,5,2,1968-07-09,"false"
2,3,1,1,,,5,3,6,3,3,3,4,"D",171,70,3,5,"5,3",1,,3,"4,6",,4,1997-05-05,"false"
2,1,3,2,,4,6,6,5,7,5,6,6,"B",173,82,4,2,5,1,"1,5",2,1,5,4,1977-02-11,"true"
2,4,3,1,,,5,4,5,3,3,4,3,"C",168,62,"1,5,3",3,"5,6",1,,"1,3,4,2","4,6,1,10","2,3,6",2,1990-05-14,"true"
1,3,3,1,5,"4,3,2",5,3,5,3,3,4,3,"B",165,60,"1,5",2,"5,3",2,,3,1,,5,1984-09-24,"true"
1,4,3,1,"1,5",4,2,3,3,4,4,5,3,"C",163,68,"4,3",3,"2,6",1,"8,9",,,,5,1979-08-08,"true"
1,4,3,1,,"1,4,5",1,4,6,1,1,1,2,"A",165,50,"1,5,3",3,"1,5",1,"1,5,6,8",1,1,5,6,1985-05-22,"true"
1,1,2,1,,2,2,1,5,3,3,4,3,"DD","162.56","66.74","3,5",3,"1,5",3,"5,7,6,8,9",,,,13,,"true"
3,3,3,3,1,4,2,3,6,4,4,2,6,"B",150,59,"2,4",5,"3,4",1,"1,5",2,1,4,12,1963-06-04,"true"
1,3,3,1,,4,4,6,5,6,4,4,4,"D",160,67,"1,5,3",3,"1,3",1,"1,7,8,9",,,,8,1975-10-31,"true"
2,1,3,1,,1,3,5,2,3,3,5,2,"B","175.26","59.93","3,4",2,"6,1",2,,3,1,"3,4,6,1,2",2,1989-11-11,"true"
1,2,3,1,"1,5","2,4",5,5,1,4,4,4,4,"B","162.56","63.56",3,3,5,1,"8,7",3,"1,10,6",1,12,1987-12-01,"false"
2,1,3,2,,1,2,3,3,6,5,3,6,"C",156,76,"3,4",2,"5,1",2,8,1,6,3,2,1994-08-17,"false"
1,1,3,1,5,"2,4",2,4,3,7,6,5,5,"E",165,95,4,3,"2,3",1,"7,8",3,"1,10,6","4,3,5",4,1981-05-01,"true"
4,3,3,2,"1,5","2,3,4",6,3,2,8,8,6,8,"C",174,100,"4,5",4,"5,6",2,8,2,"4,6",4,12,1976-08-10,"true"
1,3,1,3,,"2,5",5,3,6,3,5,3,4,"D",159,76,"5,1",3,"2,3",1,"6,7",2,1,"3,1,2",,,
2,4,1,2,"1,2,3,5",4,6,1,6,4,4,4,4,"D",170,78,"1,3,5",3,"5,6",1,,4,"4,1","4,6",7,1971-01-01,"true"
2,2,2,1,"3,5,4,2,1",,5,4,3,2,1,3,2,"B",172,55,"5,4",3,"5,6",1,8,"2,3","6,10,1",5,2,1999-01-16,"false"
1,1,3,1,,,6,4,3,3,3,3,4,"B",165,64,"4,5,1",4,"5,1",1,"5,7",1,"6,1,10",6,12,1967-12-04,"true"
